NO.,NAME,POS,AGE,HT,WT,COLLEGE
12,Tobias Harris,SF,21,6-9,235,Tennessee
4,Roy Devyn Marble,SG,21,6-6,200,Iowa
55,E'Twaun Moore,PG,25,6-4,191,Purdue
44,Andrew Nicholson,PF,24,6-9,250,St. Bonaventure
2,Kyle O'Quinn,PF,24,6-10,250,Norfolk State
5,Victor Oladipo,SG,22,6-4,215,Indiana
2,Elfrid Payton,PG,20,6-4,190,Louisiana-Lafayette
9,Nikola Vucevic,C,23,7-0,250,USC
1,Michael Carter-Williams,PG,22,6-6,185,Syracuse
6,Nemanja Dangubic,SG,21,6-8,193 
20,Brandon Davies,PF,22,6-10,240,Brigham Young
21,Joel Embiid,C,20,7-0,250,Kansas
3,Jerami Grant,SF,20,6-8,210,Syracuse
55,Pierre Jackson,PG,22,5-10,176,Baylor
32,K.J. McDaniels,SF,21,6-6,200,Clemson
--,Vasilije Micic,PG,20,6-5,203 
5,Arnett Moultrie,PF,23,6-10,240,Mississippi State
30,Byron Mullens,C,25,7-0,275,Ohio State
4,Nerlens Noel,C,20,6-11,228,Kentucky
23,Jason Richardson,SG,33,6-6,225,Michigan State
--,Dario Saric,SF,20,6-10,223 
35,Henry Sims,C,24,6-10,248,Georgetown
7,Adonis Thomas,SG,21,6-7,240,Memphis
31,Hollis Thompson,SG,23,6-8,206,Georgetown
40,Jarvis Varnado,PF,26,6-9,230,Mississippi State
17,Casper Ware,PG,24,5-10,175,Long Beach State
25,Elliot Williams,SG,25,6-5,180,Memphis
8,Tony Wroten,SG,21,6-6,205,Washington
21,Thaddeus Young,PF,26,6-8,230,Georgia Tech
10,Leandro Barbosa,SG,31,6-3,194 
2,Eric Bledsoe,PG,24,6-1,195,Kentucky
--,Bogdan Bogdanovic,SG,21,6-6,205 
21,Alec Brown,C,21,7-1,235,Green Bay
25,Dionte Christmas,SG,27,6-5,205,Temple
1,Goran Dragic,SG,28,6-3,190 
11,Tyler Ennis,PG,19,6-2,180,Syracuse
8,Channing Frye,PF,31,6-11,245,Arizona
20,Archie Goodwin,SG,19,6-5,198,Kentucky
14,Gerald Green,SG,28,6-8,210 
21,Alex Len,C,21,7-1,255,Maryland
15,Marcus Morris,PF,24,6-9,235,Kansas
11,Markieff Morris,PF,24,6-10,245,Kansas
50,Emeka Okafor,C,31,6-10,255,Connecticut
22,Miles Plumlee,C,25,6-11,255,Duke
43,Shavlik Randolph,PF,30,6-10,236,Duke
3,Ish Smith,PG,26,6-0,175,Wake Forest
17,P.J. Tucker,SF,29,6-6,224,Texas
24,T.J. Warren,SF,20,6-8,215,North Carolina State
12,LaMarcus Aldridge,PF,28,6-11,240,Texas
5,Will Barton,SG,23,6-6,175,Memphis
88,Nicolas Batum,SF,25,6-8,200 
18,Victor Claver,PF,25,6-9,224 
23,Allen Crabbe,SG,22,6-6,210,California
19,Joel Freeland,C,27,6-10,225 
11,Meyers Leonard,C,22,7-1,245,Illinois
0,Damian Lillard,PG,24,6-3,195,Weber State
42,Robin Lopez,C,26,7-0,255,Stanford
2,Wesley Matthews,SG,27,6-5,220,Marquette
3,C.J. McCollum,SG,22,6-4,200,Lehigh
41,Thomas Robinson,PF,23,6-10,237,Kansas
17,Earl Watson,PG,35,6-1,199,UCLA
25,Mo Williams,PG,31,6-1,195,Alabama
1,Dorell Wright,SF,28,6-9,205 
5,Quincy Acy,SF,23,6-7,225,Baylor
15,DeMarcus Cousins,C,23,6-11,270,Kentucky
9,Jared Cunningham,SG,23,6-4,195,Oregon State
30,Reggie Evans,PF,34,6-8,245,Iowa
8,Rudy Gay,SF,27,6-8,230,Connecticut
33,Aaron Gray,C,29,7-0,270,Pittsburgh
24,Carl Landry,PF,30,6-9,248,Purdue
3,Ray McCallum,PG,23,6-3,190,Detroit
16,Ben McLemore,SG,21,6-5,195,Kansas
25,Travis Outlaw,SF,29,6-9,207 
11,Nik Stauskas,SG,20,6-6,205,Michigan
31,Jason Terry,SG,36,6-2,180,Arizona
22,Isaiah Thomas,PG,25,5-9,185,Washington
34,Jason Thompson,PF,27,6-11,250,Rider
13,Derrick Williams,PF,23,6-8,240,Arizona
5,Kyle Anderson,PF,20,6-9,230,UCLA
11,Jeff Ayres,C,27,6-9,250,Arizona State
16,Aron Baynes,PF,27,6-10,260,Washington State
3,Marco Belinelli,SG,28,6-5,210 
15,Matt Bonner,PF,34,6-10,235,Florida
--,Bryce Cotton,G,21,6-1,165,Providence
23,Austin Daye,SF,26,6-11,200,Gonzaga
33,Boris Diaw,PF,32,6-8,250 
21,Tim Duncan,PF,38,6-11,250,Wake Forest
20,Manu Ginobili,SG,36,6-6,205 
4,Danny Green,SG,27,6-6,215,North Carolina
7,Damion James,SF,26,6-7,225,Texas
34,Cory Jefferson,PF,23,6-9,220,Baylor
5,Cory Joseph,PG,22,6-3,190,Texas
